pipeline,metric,metric_label,count,mean,std,min,p25,median,p75,max
hybrid,answer_relevancy,Answer Relevancy,399,0.6501369120401301,0.29004461443910995,0.0,0.5960769499022867,0.7512018186926146,0.8372245096247833,1.0000000000000004
kg,answer_relevancy,Answer Relevancy,391,0.12361413576954057,0.2738089908889661,0.0,0.0,0.0,0.0,0.9638785720679428
raptor,answer_relevancy,Answer Relevancy,399,0.7431563744932973,0.17366053152816224,0.0,0.6842072088305974,0.7707091082069217,0.8517270454883399,1.0000000000000002
routed,answer_relevancy,Answer Relevancy,397,0.667517441853774,0.28360840990492986,0.0,0.654081336697166,0.7592165238847425,0.848129761125738,1.0000000000000002
hybrid,context_recall,Context Recall,387,0.6492468382003266,0.45811938110894224,0.0,0.0,1.0,1.0,1.0
kg,context_recall,Context Recall,92,0.21180728088336784,0.3569206908469075,0.0,0.0,0.0,0.375,1.0
raptor,context_recall,Context Recall,377,0.2654509283819629,0.4227134324865993,0.0,0.0,0.0,0.6666666666666666,1.0
routed,context_recall,Context Recall,340,0.3479743230625583,0.4453610013318539,0.0,0.0,0.0,1.0,1.0
hybrid,faithfulness,Faithfulness,346,0.8112982112620841,0.3235867242429847,0.0,0.75,1.0,1.0,1.0
kg,faithfulness,Faithfulness,79,0.7121559172192083,0.39065507135494726,0.0,0.5,1.0,1.0,1.0
raptor,faithfulness,Faithfulness,357,0.6870706496314636,0.340540783052874,0.0,0.4615384615384615,0.8,1.0,1.0
routed,faithfulness,Faithfulness,313,0.6939411819673988,0.3612101078212476,0.0,0.4375,0.8571428571428571,1.0,1.0
